srcStateName,srcDistrictName,District and Taluk Court Case type,Pending cases for a period of 0 to 1 Years,Pending cases for a period of 1 to 3 Years,Pending cases for a period of 3 to 5 Years,Pending cases for a period of 5 to 10 Years,Pending cases for a period of 10 to 20 Years,Pending cases for a period of 20 to 30 Years,Pending cases over 30 Years,Pending cases,Original pending cases,Pending Appeal cases,Pending Application cases,Pending Execution cases,Cases pending at Appearance or Service-Related stage,Cases pending at Compliance or Steps or stay stage,Cases pending at Evidence or Argument or Judgement stage,Cases pending at Pleadings or Issues or Charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by Senior Citizens,Cases filed by women,Cases delayed in disposal,srcYear,As on Date,YearCode,Year
Gujarat,Dahod,Criminal,8876,2874,1137,1044,205,8,0,14144,12785,206,1153,0,6551,190,6546,729,3256,2941,144,742,2812,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,Dahod,Total,11083,4027,1791,1980,435,18,0,19334,16224,511,2204,395,8581,541,8785,1209,3468,3088,1201,1559,4856,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,Jamnagar,Civil,3155,1675,774,1071,533,39,3,7250,4374,791,701,1384,2330,492,3565,688,329,421,1215,625,3146,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,Jamnagar,Criminal,10418,3889,2151,1744,688,120,10,19020,16319,730,1971,0,7766,367,10071,671,3389,4933,636,1195,6230,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,Jamnagar,Total,13573,5564,2925,2815,1221,159,13,26270,20693,1521,2672,1384,10096,859,13636,1359,3718,5354,1851,1820,9376,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,Junagadh,Civil,3080,1617,943,1018,361,47,12,7078,4728,505,706,1139,1931,338,3712,782,277,627,1284,721,3139,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,Junagadh,Criminal,8162,4453,2208,1314,354,64,14,16569,14578,290,1701,0,7108,250,8400,743,2325,4652,436,1163,6353,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,Junagadh,Total,11242,6070,3151,2332,715,111,26,23647,19306,795,2407,1139,9039,588,12112,1525,2602,5279,1720,1884,9492,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,Kheda at Nadiad,Civil,4726,2929,1601,1719,474,22,4,11475,8913,836,982,744,3040,1017,6231,1139,465,789,2432,1199,4388,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,Kheda at Nadiad,Criminal,10150,4134,1966,1892,474,94,4,18714,15350,865,2499,0,8944,238,8942,481,3974,5920,664,1747,5629,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,Kheda at Nadiad,Total,14876,7063,3567,3611,948,116,8,30189,24263,1701,3481,744,11984,1255,15173,1620,4439,6709,3096,2946,10017,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,kachchh at Bhuj,Civil,7457,4516,2416,2561,996,49,2,17997,13062,915,1308,2713,7466,707,7945,1255,771,1334,2842,2046,6399,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,kachchh at Bhuj,Criminal,21893,10201,4772,4289,1515,202,4,42876,39409,335,3134,0,23220,299,17221,1583,5359,7439,726,2042,13333,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,kachchh at Bhuj,Total,29350,14717,7188,6850,2511,251,6,60873,52471,1250,4442,2713,30686,1006,25166,2838,6130,8773,3568,4088,19732,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,Panchmahal at Godhra,Civil,4571,2483,1232,1135,341,11,0,9773,7560,372,1441,400,2578,1067,5112,909,317,555,1378,766,3071,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,Panchmahal at Godhra,Criminal,9639,3014,1371,1078,308,32,0,15442,12325,239,2878,0,6494,168,7555,605,2947,4699,330,1909,3014,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,Panchmahal at Godhra,Total,14210,5497,2603,2213,649,43,0,25215,19885,611,4319,400,9072,1235,12667,1514,3264,5254,1708,2675,6085,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Gujarat,Patan,Civil,2167,1212,740,685,165,3,0,4972,3512,380,586,494,1323,391,2623,584,200,490,1159,503,1645,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
