srcStateName,srcDistrictName,District and Taluk Court Case type,Pending cases for a period of 0 to 1 Years,Pending cases for a period of 1 to 3 Years,Pending cases for a period of 3 to 5 Years,Pending cases for a period of 5 to 10 Years,Pending cases for a period of 10 to 20 Years,Pending cases for a period of 20 to 30 Years,Pending cases over 30 Years,Pending cases,Original pending cases,Pending Appeal cases,Pending Application cases,Pending Execution cases,Cases pending at Appearance or Service-Related stage,Cases pending at Compliance or Steps or stay stage,Cases pending at Evidence or Argument or Judgement stage,Cases pending at Pleadings or Issues or Charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by Senior Citizens,Cases filed by women,Cases delayed in disposal,srcYear,As on Date,YearCode,Year
Punjab,Gurdaspur,Total,18575,10033,5165,1455,95,5,0,35328,26462,2796,4326,1744,11647,1714,18316,3646,942,742,2962,5105,7568,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Kapurthala,Civil,4824,2724,1160,424,36,2,1,9171,5550,1070,895,1656,4163,620,3037,1350,77,9,2206,1566,1082,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Kapurthala,Criminal,9518,4260,2007,708,16,0,0,16509,13158,915,2439,0,6281,356,9151,722,692,640,764,1214,1388,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Kapurthala,Total,14342,6984,3167,1132,52,2,1,25680,18708,1985,3334,1656,10444,976,12188,2072,769,649,2970,2780,2470,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Moga,Civil,5635,2396,797,246,18,0,0,9092,5764,798,712,1818,4155,700,3240,996,81,1,1733,1400,1958,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Moga,Criminal,6213,3026,1693,431,11,0,0,11374,9011,874,1491,0,4576,240,6061,496,741,559,415,993,3240,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Moga,Total,11848,5422,2490,677,29,0,0,20466,14775,1672,2203,1818,8731,940,9301,1492,822,560,2148,2393,5198,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Mansa,Civil,4826,1684,660,303,26,2,0,7501,4618,651,631,1601,2926,590,3013,972,66,0,1306,1246,1685,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Mansa,Criminal,5370,4035,2074,325,2,0,0,11806,9915,574,1317,0,2859,379,7782,781,529,443,324,1230,3998,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Mansa,Total,10196,5719,2734,628,28,2,0,19307,14533,1225,1948,1601,5785,969,10795,1753,595,443,1630,2476,5683,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Sri Muktsar Sahib,Civil,5078,2638,1116,364,21,1,0,9218,6333,689,643,1553,3915,654,3372,1276,37,0,1378,947,153,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Sri Muktsar Sahib,Criminal,7051,5386,3098,835,15,0,0,16385,13923,895,1567,0,5834,337,9541,663,423,307,628,995,148,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Sri Muktsar Sahib,Total,12129,8024,4214,1199,36,1,0,25603,20256,1584,2210,1553,9749,991,12913,1939,460,307,2006,1942,301,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,SBS Nagar,Civil,4010,2166,737,255,32,0,0,7200,5022,675,843,660,2901,368,2779,1152,65,1,2013,1480,2161,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,SBS Nagar,Criminal,3166,2024,1002,203,8,1,0,6404,4536,562,1306,0,2251,113,3381,588,347,283,366,893,2598,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,SBS Nagar,Total,7176,4190,1739,458,40,1,0,13604,9558,1237,2149,660,5152,481,6160,1740,412,284,2379,2373,4759,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Barnala,Civil,3839,1598,544,177,15,1,0,6174,4195,459,580,940,2385,578,2099,1108,66,3,952,1478,1801,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Barnala,Criminal,4837,2635,1016,240,12,0,0,8740,6642,516,1582,0,3907,153,3944,733,578,521,249,1279,2473,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Barnala,Total,8676,4233,1560,417,27,1,0,14914,10837,975,2162,940,6292,731,6043,1841,644,524,1201,2757,4274,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Bathinda,Civil,11251,5542,2575,981,157,5,0,20511,14055,1040,1947,3325,7487,2151,7475,3385,111,7,3251,3382,5317,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Bathinda,Criminal,14976,7476,4964,1134,24,0,0,28574,22839,1859,3674,0,11159,667,15092,1647,1242,1616,874,3428,9084,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Bathinda,Total,26227,13018,7539,2115,181,5,0,49085,36894,2899,5621,3325,18646,2818,22567,5032,1353,1623,4125,6810,14401,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Hoshiarpur,Civil,9635,5814,3086,1396,92,1,0,20024,13491,2896,1341,2296,6969,1557,8138,3358,170,1,5455,3576,4629,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Hoshiarpur,Criminal,9438,5856,2581,957,41,0,0,18873,13549,1959,3365,0,7183,502,9364,1822,810,716,1225,2679,4313,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Hoshiarpur,Total,19073,11670,5667,2353,133,1,0,38897,27040,4855,4706,2296,14152,2059,17502,5180,980,717,6680,6255,8942,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Sangrur,Civil,11589,7363,3659,1362,92,1,1,24067,15924,2266,1401,4476,8639,2525,9327,3568,157,1,3960,2802,7795,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Sangrur,Criminal,13612,7883,4338,1230,22,0,0,27085,21065,1672,4348,0,11883,660,12655,1882,1186,1072,1103,2504,9250,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Sangrur,Total,25201,15246,7997,2592,114,1,1,51152,36989,3938,5749,4476,20522,3185,21982,5450,1343,1073,5063,5306,17045,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Pathankot,Civil,4245,3082,1771,704,7,3,0,9812,7002,550,970,1290,3083,1086,4163,1477,63,1,2989,1753,6147,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Pathankot,Criminal,5052,3116,1222,355,4,0,0,9749,7105,377,2267,0,4095,364,4660,629,267,162,483,1985,4433,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Pathankot,Total,9297,6198,2993,1059,11,3,0,19561,14107,927,3237,1290,7178,1450,8823,2106,330,163,3472,3738,10580,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Tarn Taran,Civil,4657,2202,1017,434,13,0,0,8323,5487,192,1133,1511,4462,559,2303,987,67,0,1209,816,2631,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Tarn Taran,Criminal,6654,4133,2266,1105,21,1,0,14180,12310,341,1529,0,6784,149,6543,687,567,559,353,601,7311,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Tarn Taran,Total,11311,6335,3283,1539,34,1,0,22503,17797,533,2662,1511,11246,708,8846,1674,634,559,1562,1417,9942,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Mohali,Civil,11255,8619,3653,1993,77,1,0,25598,15666,1760,2224,5948,10843,2102,7933,4669,92,1,5053,3953,11765,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Mohali,Criminal,11097,6940,4323,1819,99,12,0,24290,19029,1168,4093,0,9674,600,11611,2387,1378,988,1010,2595,11359,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Mohali,Total,22352,15559,7976,3812,176,13,0,49888,34695,2928,6317,5948,20517,2702,19544,7056,1470,989,6063,6548,23124,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Fazilka,Civil,6871,3470,1302,280,11,1,0,11935,7267,831,1191,2647,4913,967,4299,1756,101,0,2035,1712,2450,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Fazilka,Criminal,9631,5480,2136,562,6,1,0,17816,11369,1780,4668,0,7019,435,9180,1181,955,611,970,2997,4136,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Punjab,Fazilka,Total,16502,8950,3438,842,17,2,0,29751,18636,2611,5859,2647,11932,1402,13479,2937,1056,611,3005,4709,6586,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,Namchi,Civil,117,21,0,0,0,0,0,138,107,12,8,11,29,18,62,17,22,31,19,29,3,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,Namchi,Criminal,143,126,2,0,0,0,0,271,254,2,15,0,12,3,246,10,41,41,3,7,80,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,Namchi,Total,260,147,2,0,0,0,0,409,361,14,23,11,41,21,308,27,63,72,22,36,83,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,Mangan,Civil,20,1,0,0,0,0,0,21,13,0,6,2,6,12,2,1,4,2,2,6,0,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,Mangan,Criminal,8,0,1,0,0,0,0,9,8,0,1,0,1,1,6,0,5,7,0,0,0,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,Mangan,Total,28,1,1,0,0,0,0,30,21,0,7,2,7,13,8,1,9,9,2,6,0,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,Gyalshing,Civil,62,5,1,0,0,0,0,68,60,2,0,6,22,23,19,4,13,15,6,25,1,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,Gyalshing,Criminal,35,7,0,0,0,0,0,42,39,0,3,0,12,2,27,1,21,6,0,0,0,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,Gyalshing,Total,97,12,1,0,0,0,0,110,99,2,3,6,34,25,46,5,34,21,6,25,1,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,Gangtok,Civil,262,94,29,13,0,0,0,398,309,15,26,48,55,107,175,58,39,48,95,124,32,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,Gangtok,Criminal,431,239,20,3,3,0,0,696,587,8,101,0,72,27,510,80,123,78,13,78,76,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,Gangtok,Total,693,333,49,16,3,0,0,1094,896,23,127,48,127,134,685,138,162,126,108,202,108,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,PAKYONG,Civil,5,2,2,0,0,0,0,9,8,0,0,1,0,3,6,0,0,0,1,3,2,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,PAKYONG,Criminal,17,2,0,0,0,0,0,19,16,0,0,0,6,1,9,2,7,2,0,3,1,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,PAKYONG,Total,22,4,2,0,0,0,0,28,24,0,0,1,6,4,15,2,7,2,1,6,3,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,SORENG,Civil,32,1,1,0,0,0,0,34,31,1,0,2,6,7,15,5,2,8,6,8,0,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,SORENG,Criminal,43,2,0,0,0,0,0,45,41,0,4,0,3,3,10,6,16,6,1,0,0,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Sikkim,SORENG,Total,75,3,1,0,0,0,0,79,72,1,4,2,9,10,25,11,18,14,7,8,0,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Imphal East,Civil,845,468,300,264,38,5,0,1920,923,36,791,158,77,306,1339,156,116,118,648,326,648,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Imphal East,Criminal,347,196,81,119,13,1,7,764,346,11,378,21,91,106,510,31,104,90,36,246,233,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Imphal East,Total,1192,664,381,383,51,6,7,2684,1269,47,1169,179,168,412,1849,187,220,208,684,572,881,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Imphal West,Civil,1969,1034,665,728,193,9,1,4599,2778,151,1303,364,324,510,3207,504,282,259,1204,961,1756,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Imphal West,Criminal,829,499,330,400,42,6,1,2107,1351,24,701,0,205,366,1300,198,200,164,126,288,949,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Imphal West,Total,2798,1533,995,1128,235,15,2,6706,4129,175,2004,364,529,876,4507,702,482,423,1330,1249,2705,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Bishnupur,Civil,344,202,76,89,17,1,0,729,514,15,56,39,22,154,385,49,51,44,206,203,312,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Bishnupur,Criminal,128,67,38,122,6,0,0,361,118,3,187,2,44,114,145,9,34,39,18,78,86,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Bishnupur,Total,472,269,114,211,23,1,0,1090,632,18,243,41,66,268,530,58,85,83,224,281,398,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Thoubal,Civil,366,182,87,95,24,0,0,754,578,4,63,24,7,144,442,12,68,43,217,205,189,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Thoubal,Criminal,312,149,115,105,4,1,12,698,359,5,226,7,24,200,323,24,156,107,23,116,175,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Thoubal,Total,678,331,202,200,28,1,12,1452,937,9,289,31,31,344,765,36,224,150,240,321,364,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Senapati,Civil,74,77,10,21,6,0,0,188,132,6,24,17,12,7,110,15,4,2,56,18,27,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Senapati,Criminal,90,64,23,30,0,0,0,207,122,1,61,1,25,9,100,16,6,6,4,16,25,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Senapati,Total,164,141,33,51,6,0,0,395,254,7,85,18,37,16,210,31,10,8,60,34,52,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Churachandpur,Civil,26,17,9,5,0,0,0,57,54,3,0,0,2,8,22,2,1,0,8,10,5,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Churachandpur,Criminal,27,26,11,14,0,0,0,78,42,2,31,0,3,16,22,12,0,0,0,13,17,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Churachandpur,Total,53,43,20,19,0,0,0,135,96,5,31,0,5,24,44,14,1,0,8,23,22,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Ukhrul,Civil,31,16,7,12,7,0,0,73,38,1,4,2,3,9,46,7,6,1,25,9,17,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Ukhrul,Criminal,25,11,6,12,0,2,2,58,44,0,1,0,11,15,25,6,5,2,1,4,13,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Ukhrul,Total,56,27,13,24,7,2,2,131,82,1,5,2,14,24,71,13,11,3,26,13,30,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Chandel,Civil,23,34,4,5,0,0,0,66,17,0,19,3,7,0,46,2,0,0,21,4,4,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Chandel,Criminal,18,13,1,0,1,0,0,33,13,0,8,0,1,4,23,1,8,4,0,14,1,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Chandel,Total,41,47,5,5,1,0,0,99,30,0,27,3,8,4,69,3,8,4,21,18,5,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Tamenglong,Civil,8,20,36,28,2,0,0,94,44,3,44,0,2,11,72,9,1,0,29,2,56,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Tamenglong,Criminal,6,17,5,8,2,0,0,38,14,0,19,0,3,8,26,1,0,0,1,6,12,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Manipur,Tamenglong,Total,14,37,41,36,4,0,0,132,58,3,63,0,5,19,98,10,1,0,30,8,68,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,North East,Civil,3149,1570,798,750,41,0,0,6308,5195,88,456,569,505,4,5540,259,157,115,612,1259,2596,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,North East,Criminal,9863,10612,4216,4584,1101,16,0,30392,27253,148,1497,1494,7613,1631,13416,2042,844,810,518,4452,14015,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,North East,Total,13012,12182,5014,5334,1142,16,0,36700,32448,236,1953,2063,8118,1635,18956,2301,1001,925,1130,5711,16611,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,Shahdara,Civil,6652,3438,2005,2291,124,0,0,14510,12712,372,52,1374,520,117,13105,759,313,294,1719,2586,6617,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,Shahdara,Criminal,14818,17398,8885,10458,1084,2,0,52645,47210,564,2723,2142,21899,177,21323,4327,1186,1048,1661,6665,29419,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,Shahdara,Total,21470,20836,10890,12749,1208,2,0,67155,59922,936,2775,3516,22419,294,34428,5086,1499,1342,3380,9251,36036,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,East,Civil,5795,3231,1687,2346,225,1,0,13285,8437,205,3386,1257,935,2,11871,477,198,208,1396,2585,6261,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,East,Criminal,17060,15200,8081,8266,1078,5,0,49690,29677,435,18172,1406,19772,19,22482,3726,1438,1262,1559,6166,24910,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,East,Total,22855,18431,9768,10612,1303,6,0,62975,38114,640,21558,2663,20707,21,34353,4203,1636,1470,2955,8751,31171,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,North,Civil,11006,5467,2740,3257,254,1,1,22726,19747,346,189,2444,1454,10512,9822,926,567,472,2893,2233,9473,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,North,Criminal,18440,18289,10927,11930,1839,8,1,61434,58105,474,1593,1262,27929,4745,22507,5062,1305,1101,1613,4244,37541,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,North,Total,29446,23756,13667,15187,2093,9,2,84160,77852,820,1782,3706,29383,15257,32329,5988,1872,1573,4506,6477,47014,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,North West,Civil,9852,5720,2837,3388,474,1,0,22272,19490,296,164,2322,2710,9025,9144,1021,390,340,2655,2910,9728,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,North West,Criminal,48566,34206,21980,23552,2879,17,0,131200,118907,531,10144,1618,78082,17253,27916,7875,1891,1153,2082,5978,61436,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,North West,Total,58418,39926,24817,26940,3353,18,0,153472,138397,827,10308,3940,80792,26278,37060,8896,2281,1493,4737,8888,71164,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,South West,Civil,8799,4979,2227,2303,160,1,0,18469,15667,264,610,1928,2844,2580,11996,1032,387,413,2517,2583,7623,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,South West,Criminal,92247,62421,29876,18035,748,28,0,203355,190612,1287,9459,1997,125929,600,71255,5480,5052,3213,1825,6929,77091,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,South West,Total,101046,67400,32103,20338,908,29,0,221824,206279,1551,10069,3925,128773,3180,83251,6512,5439,3626,4342,9512,84714,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,New Delhi,Civil,8239,4172,2352,4098,141,2,0,19004,16203,504,40,2257,1023,0,17188,674,282,228,1496,1233,8668,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,New Delhi,Criminal,83059,48082,12953,16026,2248,88,1,162457,130643,1103,30151,521,92913,1423,34906,2953,3299,1724,2406,1929,41107,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,New Delhi,Total,91298,52254,15305,20124,2389,90,1,181461,146846,1607,30191,2778,93936,1423,52094,3627,3581,1952,3902,3162,49775,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,Central,Civil,22350,10332,6462,8594,2485,269,70,50562,35562,917,13152,888,2815,16286,29847,1532,934,639,7213,5291,24506,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,Central,Criminal,36680,43594,15310,23602,1978,121,10,121295,69755,1540,48800,1189,61878,11979,28035,5895,2680,1859,3334,5651,56359,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,Central,Total,59030,53926,21772,32196,4463,390,80,171857,105317,2457,61952,2077,64693,28265,57882,7427,3614,2498,10547,10942,80865,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,West,Civil,9748,5707,2760,3957,796,43,15,23026,16949,503,5146,426,2602,8689,10790,906,422,241,3683,4080,11442,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,West,Criminal,22656,21764,10415,11428,1233,20,0,67516,32046,1263,32629,834,24325,6062,25005,5749,1824,1358,1969,6885,34856,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,West,Total,32404,27471,13175,15385,2029,63,15,90542,48995,1766,37775,1260,26927,14751,35795,6655,2246,1599,5652,10965,46298,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,South,Civil,7063,3145,1531,2395,297,1,0,14432,12725,213,37,1457,739,1,13172,467,471,338,1777,2561,6198,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,South,Criminal,30700,26691,21826,10992,475,29,1,90714,69823,698,18949,1244,60286,4373,18507,7177,4241,3024,967,6394,41512,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,South,Total,37763,29836,23357,13387,772,30,1,105146,82548,911,18986,2701,61025,4374,31679,7644,4712,3362,2744,8955,47710,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,South East,Civil,9085,4569,2128,2815,95,3,0,18695,16584,281,25,1806,780,2269,14809,824,372,287,2320,3042,9435,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,South East,Criminal,46759,33856,20070,17406,710,27,0,118828,98837,1170,17466,1370,83421,904,28156,5909,7567,2523,2319,7675,52341,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Delhi,South East,Total,55844,38425,22198,20221,805,30,0,137523,115421,1451,17491,3176,84201,3173,42965,6733,7939,2810,4639,10717,61776,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Adilabad,Civil,1248,762,316,106,6,0,0,2438,1856,68,0,514,329,543,979,480,137,118,256,302,532,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Adilabad,Criminal,2802,2307,1095,368,8,7,1,6588,6314,27,247,0,3676,508,1896,380,521,569,66,159,1979,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Adilabad,Total,4050,3069,1411,474,14,7,1,9026,8170,95,247,514,4005,1051,2875,860,658,687,322,461,2511,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Hyderabad Central,Civil,22601,16398,7956,6638,1144,43,14,54794,43785,1619,0,9390,14281,19023,15454,5341,1777,1330,6994,10760,9808,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Hyderabad Central,Criminal,47830,44692,13180,11154,705,99,54,117714,109029,1913,6664,0,83117,10246,21318,1969,10091,10654,2031,5918,31937,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Hyderabad Central,Total,70431,61090,21136,17792,1849,142,68,172508,152814,3532,6664,9390,97398,29269,36772,7310,11868,11984,9025,16678,41745,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Karimnagar,Civil,4319,4243,2123,1720,165,2,0,12572,9804,378,1,2390,2416,3004,3944,2995,281,199,2261,2457,4379,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Karimnagar,Criminal,7223,7376,5501,4397,130,12,2,24641,23747,154,740,0,13015,1934,9020,497,1076,997,788,1707,11962,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Karimnagar,Total,11542,11619,7624,6117,295,14,2,37213,33551,532,741,2390,15431,4938,12964,3492,1357,1196,3049,4164,16341,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Khammam,Civil,4802,4146,2248,1709,269,2,0,13176,11037,311,0,1828,2199,3059,4367,3408,440,614,2272,2278,3205,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Khammam,Criminal,6847,7525,3790,2676,29,0,0,20867,20232,92,543,0,12142,2711,5549,332,1496,1981,571,1068,5219,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Khammam,Total,11649,11671,6038,4385,298,2,0,34043,31269,403,543,1828,14341,5770,9916,3740,1936,2595,2843,3346,8424,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Mahabubnagar,Civil,3499,2774,1291,427,60,1,1,8053,6271,203,0,1579,1774,1811,2579,1258,292,324,982,1646,1655,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Mahabubnagar,Criminal,4488,4521,1425,618,9,0,0,11061,10715,146,200,0,6089,849,3462,438,459,581,284,763,2324,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Telangana,Mahabubnagar,Total,7987,7295,2716,1045,69,1,1,19114,16986,349,200,1579,7863,2660,6041,1696,751,905,1266,2409,3979,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
